min_split	min_bucket	cp	max_depth	t0	t1	t_seg	ganancia_promedio
50	10	0	4	00:41:08	00:42:32	84.2506740093231	0
100	10	0	4	00:41:08	00:42:32	84.4185729026794	0
150	10	0	4	00:41:08	00:42:32	84.4915390014648	0
25	10	0	4	00:41:08	00:42:33	85.7967889308929	0
950	100	-1	4	00:41:08	00:42:34	86.3184859752655	10033333.3333333
900	100	-1	4	00:41:08	00:42:34	86.3904421329498	10033333.3333333
1000	100	-1	4	00:41:08	00:42:34	86.4624049663544	10033333.3333333
850	100	-1	4	00:41:08	00:42:34	86.7672259807587	10033333.3333333
400	10	0	4	00:42:36	00:44:00	84.0058150291443	0
550	10	0	4	00:42:36	00:44:00	84.6124670505524	0
500	10	0	4	00:42:36	00:44:00	84.8543291091919	0
350	10	0	4	00:42:36	00:44:01	85.1391618251801	0
450	10	0	4	00:42:36	00:44:01	85.4529840946198	0
200	10	0	4	00:42:36	00:44:01	85.6688621044159	0
300	10	0	4	00:42:36	00:44:01	85.7897889614105	0
250	10	0	4	00:42:36	00:44:01	85.8417630195618	0
800	10	0	4	00:44:03	00:45:27	83.8329150676727	0
900	10	0	4	00:44:03	00:45:27	83.9238650798798	0
950	10	0	4	00:44:03	00:45:28	84.4185819625854	0
600	10	0	4	00:44:03	00:45:29	85.1441600322723	0
850	10	0	4	00:44:03	00:45:29	85.7228291034698	0
650	10	0	4	00:44:03	00:45:29	85.8867330551147	0
750	10	0	4	00:44:03	00:45:29	86.0446438789368	0
700	10	0	4	00:44:03	00:45:30	86.230535030365	0
1000	10	0	4	00:45:31	00:46:54	83.0083858966827	0
200	15	0	4	00:45:31	00:46:55	83.7169749736786	0
50	15	0	4	00:45:31	00:46:56	84.4675490856171	0
