min_split	min_bucket	cp	max_depth	seg	ganancia_promedio
250	5	0.02	15	40.56	0
250	5	0.02	20	40.25	0
250	5	0.03	4	28.39	0
250	5	0.03	6	34.67	0
250	5	0.03	8	35.09	0
250	5	0.03	10	35.33	0
250	5	0.03	15	35.18	0
250	5	0.03	20	34.86	0
250	5	0.04	4	28.48	0
250	5	0.04	6	30.94	0
250	5	0.04	8	31.62	0
250	5	0.04	10	31.82	0
250	5	0.04	15	31.03	0
250	5	0.04	20	31.31	0
250	5	0.05	4	28.42	0
250	5	0.05	6	29.2	0
250	5	0.05	8	29.73	0
250	5	0.05	10	28.83	0
250	5	0.05	15	29.17	0
250	5	0.05	20	28.78	0
250	5	0.06	4	25.68	0
250	5	0.06	6	26.09	0
250	5	0.06	8	26.53	0
250	5	0.06	10	26.89	0
250	5	0.06	15	26.59	0
250	5	0.06	20	26.37	0
250	5	0.07	4	23.75	0
250	5	0.07	6	24.66	0
250	5	0.07	8	24.35	0
250	5	0.07	10	24.39	0
250	5	0.07	15	23.94	0
250	5	0.07	20	24.46	0
250	5	0.08	4	22.89	0
250	5	0.08	6	24.02	0
250	5	0.08	8	23.76	0
250	5	0.08	10	23.74	0
250	5	0.08	15	23.81	0
250	5	0.08	20	23.51	0
250	5	0.09	4	22.22	0
250	5	0.09	6	23.13	0
250	5	0.09	8	23.02	0
250	5	0.09	10	22.82	0
250	5	0.09	15	23	0
250	5	0.09	20	23.14	0
250	5	0.1	4	20.8	0
250	5	0.1	6	20.85	0
250	5	0.1	8	20.99	0
250	5	0.1	10	21.21	0
250	5	0.1	15	20.86	0
250	5	0.1	20	21.29	0
250	5	0.15	4	18.91	0
250	5	0.15	6	18.1	0
250	5	0.15	8	18.15	0
250	5	0.15	10	18.47	0
250	5	0.15	15	17.9	0
250	5	0.15	20	18.81	0
250	12	-1	4	29.15	8939333
250	12	-1	6	41.02	10190000
250	12	-1	8	53.1	9454667
250	12	-1	10	63.37	8120667
250	12	-1	15	85.22	6256667
